Lib Organised Folder,File Name,Project Name,Version,License,Newer Version Avaliable,Reason Not Upgraded (if any),Home Page URL,Documentation URL,License URL
apache-commons,commons-fileupload-1.3.1.jar,Commons FileUpload,v 1.3.1,"APACHE LICENSE, VERSION 2.0",v 1.3.2,,https://commons.apache.org/proper/commons-fileupload/,https://commons.apache.org/proper/commons-fileupload/apidocs/index.html,http://www.apache.org/licenses/LICENSE-2.0
apache-commons,httpmime-4.3.jar,HTTP Components,v 4.3,"APACHE LICENSE, VERSION 2.0",v 5.0,,https://hc.apache.org/httpcomponents-client-ga/httpmime/dependency-info.html,https://hc.apache.org/httpcomponents-client-ga/httpclient/apidocs/,http://www.apache.org/licenses/LICENSE-2.0
apache-commons/codec-1.10,commons-codec-1.10.jar,Commons Codec,v 1.10,"APACHE LICENSE, VERSION 2.0",,,https://commons.apache.org/proper/commons-codec/,https://commons.apache.org/proper/commons-codec/archives/1.10/apidocs/index.html,http://www.apache.org/licenses/LICENSE-2.0
,commons-collections4-4.0.jar,,,,,,,,
,commons-configuration-1.10.jar,,,,,,,,
,commons-exec-1.3.jar,,,,,,,,
,commons-io-2.4.jar,,,,,,,,
,commons-lang3-3.3.2.jar,,,,,,,,
,commons-logging-1.2.jar,,,,,,,,
,commons-math3-3.4.1.jar,,,,,,,,
,fontbox-2.0.2.jar,,,,,,,,
,pdfbox-2.0.2.jar,,,,,,,,
,pdfbox-debugger-2.0.2.jar,,,,,,,,
,pdfbox-tools-2.0.2.jar,,,,,,,,
,preflight-2.0.2.jar,,,,,,,,
,xmpbox-2.0.2.jar,,,,,,,,
,aws-java-sdk-1.10.64.jar,,,,,,,,
,aspectjrt.jar,,,,,,,,
,aspectjweaver.jar,,,,,,,,
,freemarker-2.3.18.jar,,,,,,,,
,httpclient-4.3.jar,,,,,,,,
,httpcore-4.3.jar,,,,,,,,
,spring-beans-3.0.7.jar,,,,,,,,
,spring-context-3.0.7.jar,,,,,,,,
,spring-core-3.0.7.jar,,,,,,,,
,batik-CUSTOM.jar,,,,,,,,
,batik-anim.jar,,,,,,,,
,batik-awt-util.jar,,,,,,,,
,batik-bridge.jar,,,,,,,,
,batik-codec.jar,,,,,,,,
,batik-css.jar,,,,,,,,
,batik-dom.jar,,,,,,,,
,batik-ext.jar,,,,,,,,
,batik-extension.jar,,,,,,,,
,batik-gui-util.jar,,,,,,,,
,batik-gvt.jar,,,,,,,,
,batik-parser.jar,,,,,,,,
,batik-rasterizer.jar,,,,,,,,
,batik-script.jar,,,,,,,,
,batik-slideshow.jar,,,,,,,,
,batik-squiggle.jar,,,,,,,,
,batik-svg-dom.jar,,,,,,,,
,batik-svggen.jar,,,,,,,,
,batik-svgpp.jar,,,,,,,,
,batik-swing.jar,,,,,,,,
,batik-transcoder.jar,,,,,,,,
,batik-ttf2svg.jar,,,,,,,,
,batik-util.jar,,,,,,,,
,batik-xml.jar,,,,,,,,
,xml-apis-ext.jar,,,,,,,,
,xml-apis.jar,,,,,,,,
,jmte-3.1.jar,,,,,,,,
,jsoup-1.9.2.jar,,,,,,,,
,lesscss-1.7.0.1.1.jar,,,,,,,,
,rhino-1.7.7.jar,,,,,,,,
,closure-compiler-v20160713.jar,,,,,,,,
,jackson-annotations-2.8.0.rc2.jar,,,,,,,,
,jackson-core-2.8.0.rc2.jar,,,,,,,,
,jackson-databind-2.8.0.rc2.jar,,,,,,,,
,zip4j_1.3.2.jar,,,,,,,,
,bcmail-jdk15-1.40.jar,,,,,,,,
,bcpkix-jdk15on-1.47.jar,,,,,,,,
,bcprov-jdk15on-151.jar,,,,,,,,
,ini4j-0.5.2.jar,,,,,,,,
,winzipaes-1.0.1.jar,,,,,,,,
,core-renderer.jar,,,,,,,,
,iText-2.0.8.jar,,,,,,,,
,guava-19.0-rc2.jar,,,,,,,,
,hazelcast-client-3.4.jar,,,,,,,,
,hazelcast-3.4.jar,,,,,,,,
,HdrHistogram-2.1.6.jar,,,,,,,,
,apache-log4j-extras-1.2.17.jar,,,,,,,,
,elasticsearch-5.0.0-alpha3.jar,,,,,,,,
,hppc-0.7.1.jar,,,,,,,,
,jackson-dataformat-cbor-2.7.1.jar,,,,,,,,
,jackson-dataformat-smile-2.7.1.jar,,,,,,,,
,jackson-dataformat-yaml-2.7.1.jar,,,,,,,,
,jna-4.1.0.jar,,,,,,,,
,joda-convert-1.2.jar,,,,,,,,
,joda-time-2.8.2.jar,,,,,,,,
,jopt-simple-4.9.jar,,,,,,,,
,jts-1.13.jar,,,,,,,,
,log4j-1.2.17.jar,,,,,,,,
,lucene-analyzers-common-6.0.0.jar,,,,,,,,
,lucene-backward-codecs-6.0.0.jar,,,,,,,,
,lucene-core-6.0.0.jar,,,,,,,,
,lucene-grouping-6.0.0.jar,,,,,,,,
,lucene-highlighter-6.0.0.jar,,,,,,,,
,lucene-join-6.0.0.jar,,,,,,,,
,lucene-memory-6.0.0.jar,,,,,,,,
,lucene-misc-6.0.0.jar,,,,,,,,
,lucene-queries-6.0.0.jar,,,,,,,,
,lucene-queryparser-6.0.0.jar,,,,,,,,
,lucene-sandbox-6.0.0.jar,,,,,,,,
,lucene-spatial-6.0.0.jar,,,,,,,,
,lucene-spatial-extras-6.0.0.jar,,,,,,,,
,lucene-spatial3d-6.0.0.jar,,,,,,,,
,lucene-suggest-6.0.0.jar,,,,,,,,
,netty-3.10.5.Final.jar,,,,,,,,
,securesm-1.0.jar,,,,,,,,
,spatial4j-0.6.jar,,,,,,,,
,t-digest-3.0.jar,,,,,,,,
,ingest-grok-5.0.0-alpha3.jar,,,,,,,,
,jcodings-1.0.12.jar,,,,,,,,
,joni-2.1.6.jar,,,,,,,,
,antlr4-runtime-4.5.1-1.jar,,,,,,,,
,asm-5.0.4.jar,,,,,,,,
,asm-commons-5.0.4.jar,,,,,,,,
,asm-tree-5.0.4.jar,,,,,,,,
,lang-expression-5.0.0-alpha3.jar,,,,,,,,
,lucene-expressions-6.0.0.jar,,,,,,,,
,groovy-2.4.6-indy.jar,,,,,,,,
,lang-groovy-5.0.0-alpha3.jar,,,,,,,,
,compiler-0.9.1.jar,,,,,,,,
,lang-mustache-5.0.0-alpha3.jar,,,,,,,,
,antlr4-runtime-4.5.1-1.jar,,,,,,,,
,asm-5.0.4.jar,,,,,,,,
,asm-commons-5.0.4.jar,,,,,,,,
,asm-tree-5.0.4.jar,,,,,,,,
,lang-painless-5.0.0-alpha3.jar,,,,,,,,
,percolator-5.0.0-alpha3.jar,,,,,,,,
,reindex-5.0.0-alpha3.jar,,,,,,,,
,netty-all-4.0.26.Final.jar,,,,,,,,
,redisson-1.2.1-SNAPSHOT.jar,,,,,,,,
,slf4j-api-1.7.10.jar,,,,,,,,
,jtds-1.2.7.jar,,,,,,,,
,mysql-connector-java-5.1.15-bin.jar,,,,,,,,
,ojdbc6.jar,,,,,,,,
,sqlite-jdbc-3.7.2.jar,,,,,,,,
,leveldbjni-all-1.8.jar,,,,,,,,
,rocksdbjni-4.0.jar,,,,,,,,
,javax.mail-api-1.4.6.jar,,,,,,,,
,servlet-api-3.0.jar,,,,,,,,
,unboundid-ldapsdk-se.jar,,,,,,,,
,log4j-1.2.17.jar,,,,,,,,
,embedded-redis-0.4.jar,,,,,,,,
,ant-junit-1.9.2.jar,,,,,,,,
,hamcrest-core-1.3.jar,,,,,,,,
,jacocoant.jar,,,,,,,,
,junit-4.11.jar,,,,,,,,
,mockito-all-1.10.19.jar,,,,,,,,
,jce.jar,,,,,,,,
